xid,addr,pocet_her,fid,ulice,cp_co,ku,cas
200,Na Florenci 1412,,,Na Florenci,1412/29,,bez omezení
201,Na poříčí 1052,,,Na poříčí,1052/42,,bez omezení
202,Freyova 945,,,Freyova,945/33,,bez omezení
203,Masarykovo nádraží,,,Masarykovo nádraží,,bez omezení
0,5. května 1640,151,,,,,
1,Kotorská 1598,133,,,,,
2,Revoluční 655,119,12.0,Revoluční ,655/1,,bez omezení
3,Mukařovského 2590,116,85.0,Mukařovského,2590/2,,bez omezení
4,Václavské náměstí 822,106,16.0,Václavské náměstí,822/35,,bez omezení
5,Archeologická 2256,104,81.0,Archeologická,2256/1,,bez omezení
6,Vodičkova 699,96,21.0,Vodičkova,699/30,,bez omezení
7,Chlumecká 765,95,88.0,Chlumecká,765/6,,bez omezení
8,V celnici 1028,93,15.0,V celnici,1028/10,,bez omezení
9,náměstí Republiky 1078,92,8.0,náměstí Republiky ,1078/1,,bez omezení
10,Kongresová 1655,89,,,,,
11,Vodičkova 791,86,20.0,Vodičkova,791/39- 41,,bez omezení
12,Pobřežní 311,86,40.0,Pobřežní,311/1,,bez omezení
13,Jílovská 452,84,,,,,
14,Na příkopě 959,70,7.0,Na příkopě,959/27,,bez omezení
15,Ostrovského 464,69,,,,,
16,Mukařovského 1985,68,83.0,Mukařovského,1985/5,,bez omezení
17,Štefánikova 218,66,,,,,
18,Prusíkova 2577,64,87.0,Prusíkova,2577/16,,bez omezení
19,Na příkopě 391,63,5.0,Na příkopě ,391/7,,bez omezení
20,Švehlova 1391,61,93.0,Švehlova,1391/32,,bez omezení
21,Ostrovského 253,60,,,,,
22,náměstí Jiřího z Poděbrad 853,59,25.0,náměstí Jiřího z Poděbrad,853/16,,bez omezení
23,Štefánikova 230,57,,,,,
24,Brandlova 1599,57,,,,,
25,Novodvorská 1800,56,,,,,
26,Na příkopě 852,56,6.0,Na příkopě,852/10,,bez omezení
27,Lidická 312,55,,,,,
28,Roztylská 2321,54,,,,,
29,Petržílkova 2583,54,86.0,Petržílkova,2583/15,,bez omezení
30,Národní 984,53,9.0,Národní,984/15,,bez omezení
31,Českomoravská 2420,50,48.0,Českomoravská,2420/15a,,bez omezení
32,U Obecního domu 660,49,14.0,U Obecního domu,660/3,,bez omezení
33,Václavské náměstí 818,48,18.0,Václavské náměstí,818/45,,bez omezení
34,Olštýnská 607,48,39.0,Olštýnská,607/1,,bez omezení
35,Řevnická 121,48,101.0,Řevnická,121/1,,10.00-24.00
